artist,born-died,period,school,url,base,nationality
"ADAM, Robert",(1728-1792),Baroque,architect,https://www.wga.hu/html/a/adam2/index.html,London,Scottish
"ADAM-SALOMON, Antoine-Samuel",(1818-1881),Realism,sculptor,https://www.wga.hu/html/a/adam-sal/index.html,Paris,French
"ADELCRANTZ, Carl Fredrik",(1716-1796),Neoclassicism,architect,https://www.wga.hu/html/a/adelcran/index.html,Sweden,Swedish
"ADEMOLLO, Luigi",(1764-1849),Neoclassicism,painter,https://www.wga.hu/html/a/ademollo/index.html,Florence,Italian
"ADLER, Salomon",(1630-1709),Baroque,painter,https://www.wga.hu/html/a/adler/index.html,Milan,German
"ADOLPHI, Christoffel",(c. 1631-1680),Baroque,sculptor,https://www.wga.hu/html/a/adolphi/index.html,Amsterdam,Dutch
"ADRIAENSSEN, Alexander",(1587-1661),Baroque,painter,https://www.wga.hu/html/a/adriaens/index.html,Antwerp,Flemish
ADRIANO FIORENTINO,(ca. 1455-1499),Early Renaissance,sculptor,https://www.wga.hu/html/a/adriano/index.html,Florence,Italian
"AELST, Willem van",(1627-c. 1683),Baroque,painter,https://www.wga.hu/html/a/aelst/index.html,Delft,Dutch
"AENVANCK, Theodoor",(1633-1690),Baroque,painter,https://www.wga.hu/html/a/aenvanck/index.html,Antwerp,Flemish
AERT VAN ORT,(active 1490-1536),Northern Renaissance,glass,https://www.wga.hu/html/a/aert/index.html,Flanders,Flemish
"AERTSEN, Pieter",(1508-1575),Northern Renaissance,painter,https://www.wga.hu/html/a/aertsen/index.html,Amsterdam,Netherlandish
"AGABITI, Pietro Paolo",(c. 1470-c. 1540),Early Renaissance,painter,https://www.wga.hu/html/a/agabiti/index.html,Marches,Italian
"AGASSE, Jacques-Laurent",(1767-1849),Neoclassicism,painter,https://www.wga.hu/html/a/agasse/index.html,London,Swiss
AGNOLO DI POLO,(c. 1470-after 1498),Early Renaissance,sculptor,https://www.wga.hu/html/a/agnolo/index.html,Florence,Italian
AGNOLO DI VENTURA,(active 1311-1349),Medieval,sculptor,https://www.wga.hu/html/a/agnol/index.html,Siena,Italian
AGOSTINO DI DUCCIO,(1418-1481),Early Renaissance,sculptor,https://www.wga.hu/html/a/agostin/index.html,Rimini,Italian
AGOSTINO DI GIOVANNI,(active 1310-1347),Medieval,sculptor,https://www.wga.hu/html/a/agostino/index.html,Siena,Italian
"AGRATE, Gian Francesco Ferrari d'",(1489-c. 1563),High Renaissance,sculptor,https://www.wga.hu/html/a/agrate/index.html,Parma,Italian
"AGRESTI, Livio",(1505-1579),High Renaissance,painter,https://www.wga.hu/html/a/agresti/index.html,Forli,Italian
"AGUADO LÓPEZ, Antonio",(1764-1831),Neoclassicism,architect,https://www.wga.hu/html/a/aguado/index.html,Madrid,Spanish
"AIMO, Domenico",(c. 1465-1539),High Renaissance,sculptor,https://www.wga.hu/html/a/aimo/index.html,Italy,Italian
