ARTIST,BIRTH DATA,PROFESSION,SCHOOL,URL
"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",painter,Italian,https://www.wga.hu/bio/a/angelico/biograph.html
"ANGELLINI, Francesco Maria",(1680-1731),architect,Italian,https://www.wga.hu/bio/a/angellin/biograph.html
"ANGELLIS, Pieter","(b. 1685, Dunkerque, d. 1734, Rennes)",painter,Flemish,https://www.wga.hu/bio/a/angellis/biograph.html
ANGELO DA ORVIETO,(active 1317-1352),architect,Italian,https://www.wga.hu/bio/a/angelo_o/biograph.html
ANGELO DA SIENA,"(documented 1447, Ferrara, d. 1456, Ferrara)",painter,Italian,https://www.wga.hu/bio/a/angelo_s/biograph.html
ANGELO DI NALDUCCIO,(active 1342-1389 in Siena),sculptor,Italian,https://www.wga.hu/bio/a/angelo/biograph.html
ANGELUCCIO,"(b. ca. 1620, Roma, d. ca. 1650, Roma)",painter,Italian,https://www.wga.hu/bio/a/angelucc/biograph.html
"ANGERMAYER, Johann Adalbert","(b. 1674, Bilina, d. 1740, Praha)",painter,Bohemian,https://www.wga.hu/bio/a/angermay/biograph.html
"ANGOLO DEL MORO, Giulio dell'","(b. 1555, Verona, d. 1616, Venezia)",sculptor,Italian,https://www.wga.hu/bio/a/angolo/biograph.html
"ANGRAND, Charles","(b. 1854, Criquetot-sur-Ouville, d. 1926, Rouen)",painter,French,https://www.wga.hu/bio/a/angrand/biograph.html
"ANGUIER, François","(b. 1604, Eu, d. 1669, Paris)",sculptor,French,https://www.wga.hu/bio/a/anguier/francois/biograph.html
"ANGUIER, Michel","(b. ca. 1613, Eu, d. 1686, Paris)",sculptor,French,https://www.wga.hu/bio/a/anguier/michel/biograph.html
"ANGUISSOLA, Lucia","(b. 1538, Cremona, d. 1565, Cremona)",painter,Italian,https://www.wga.hu/bio/a/anguisso/lucia/biograph.html
"ANGUISSOLA, Sofonisba","(b. ca. 1530, Cremona, d. 1625, Palermo)",painter,Italian,https://www.wga.hu/bio/a/anguisso/sofonisb/biograph.html
ANQUETIN. Louis,"(b. 1861, Étrépagny, nr Gisors, d. 1932, Paris)",painter,French,https://www.wga.hu/bio/a/anquetin/biograph.html
"ANSALDO, Giovanni Andrea","(b. 1584, Voltri, d. 1638, Genova)",painter,Italian,https://www.wga.hu/bio/a/ansaldo/biograph.html
"ANSELMI, Michelangelo","(b. ca. 1492, Siena or Lucca, d. 1556, Parma)",painter,Italian,https://www.wga.hu/bio/a/anselmi/biograph.html
ANSELMO DA CAMPIONE,(active 1160-1209 in Modena),sculptor,Italian,https://www.wga.hu/bio/a/anselmo/biograph.html
"ANTELAMI, Benedetto",(active 1170-1230 in Parma),sculptor,Italian,https://www.wga.hu/bio/a/antelami/biograph.html
"ANTHONISZ, Aert","(b. 1579/80, Antwerpen, d. 1620, Amsterdam)",painter,Dutch,https://www.wga.hu/bio/a/anthoni/biograph.html
"ANTHONISZ, Cornelis","(b. ca. 1499, Amsterdam, d. ca. 1555, Amsterdam)",graphic artist,Dutch,https://www.wga.hu/bio/a/anthonis/biograph.html
ANTICO,"(b. ca. 1460, Mantova, d. 1528, Mantova)",sculptor,Italian,https://www.wga.hu/bio/a/antico/biograph.html
"ANTIGNA, Alexandre","(b. 1817, Orléans, d. 1878, Paris)",painter,French,https://www.wga.hu/bio/a/antigna/biograph.html
"ANTOINE, Jacques-Denis ","(b. 1733, Paris, d. 1801, Paris)",architect,French,https://www.wga.hu/bio/a/antoine/biograph.html
"ANTOLINEZ, Francisco","(b. 1644, Sevilla, d. 1700, Sevilla)",painter,Spanish,https://www.wga.hu/bio/a/antoline/francisc/biograph.html
"ANTOLINEZ, José","(b. 1635, Madrid, d. 1675, Madrid)",painter,Spanish,https://www.wga.hu/bio/a/antoline/jose/biograph.html
"ANTOLINI, Giovanni Antonio","(b. 1756, Castel Bolognese, d. 1841, Bologna)",architect,Italian,https://www.wga.hu/bio/a/antolini/biograph.html
"ANTONELLI, Alessandro","(b. 1798, Ghemme, d. 1788, Maggiora)",architect,Italian,https://www.wga.hu/bio/a/antonel/biograph.html
ANTONELLO da Messina,"(b. 1430, Messina, d. 1479, Messina)",painter,Italian,https://www.wga.hu/bio/a/antonell/biograph.html
ANTONIAZZO ROMANO,(c. 1430-1508/12),painter,Italian,https://www.wga.hu/bio/a/antoniaz/biograph.html
ANTONIO DA ATRI,"(b. ca. 1350, Atri, d. 1433, Atri)",painter,Italian,https://www.wga.hu/bio/a/antonio/atri/biograph.html
ANTONIO DA CREVALCORE,"(b. ca. 1440, Crevalcore, d. ca. 1525, Bologna)",painter,Italian,https://www.wga.hu/bio/a/antonio/crevalco/biograph.html
ANTONIO DA FABRIANO,(active 1447-1489),painter,Italian,https://www.wga.hu/bio/a/antonio/fabriano/biograph.html
ANTONIO DA FIRENZE,(active in the first half of the 15th century),painter,Italian,https://www.wga.hu/bio/a/antonio/firenze/biograph.html
ANTONIO DA NEGROPONTE,(active second half of the 15th century),painter,Italian,https://www.wga.hu/bio/a/antonio/negropon/biograph.html
ANTONIO DA TRENTO,(active c. 1527 in Bologna),graphic artist,Italian,https://www.wga.hu/bio/a/antonio/trento/biograph.html
ANTONIO DI VINCENZO,"(b. ca. 1350, Bologna, d. ca. 1402, Bologna)",architect,Italian,https://www.wga.hu/bio/a/antonio/vincenzo/biograph.html
ANTONIO VENEZIANO,(active 1369-1419),painter,Italian,https://www.wga.hu/bio/a/antonio/venezian/biograph.html
"ANTROPOV, Aleksey Petrovich","(b. 1716, St. Petersburg, d. 1795, St. Petersburg)",painter,Russian,https://www.wga.hu/bio/a/antropov/biograph.html
"AOSTALLI, Ulrico","(b. ca. 1525, Ticino, d. 1597, Praha)",architect,Italian,https://www.wga.hu/bio/a/aostalli/biograph.html
APOLLONIO DI GIOVANNI,"(b. ca. 1414, Firenze, d. 1465, Firenze)",painter,Italian,https://www.wga.hu/bio/a/apolloni/biograph.html
"APPIANI, Andrea","(b. 1754, Milano, d. 1817, Milano)",painter,Italian,https://www.wga.hu/bio/a/appiani/biograph.html
"APSHOVEN, Thomas van","(b. ca. 1622, Antwerpen, d. ca. 1665, Antwerpen)",painter,Flemish,https://www.wga.hu/bio/a/apshoven/biograph.html
"APT, Ulrich the Elder","(b. ca. 1460, Augsburg, d. 1522, Augsburg)",painter,German,https://www.wga.hu/bio/a/apt/biograph.html
"ARALDI, Alessandro","(b. ca. 1460, Parma, d. ca. 1530, Parma)",painter,Italian,https://www.wga.hu/bio/a/araldi/biograph.html
ARCANGELO DI JACOPO DEL SELLAIO,"(b. 1477/78, Firenze, d. 1530, Firenze)",painter,Italian,https://www.wga.hu/bio/a/arcangel/biograph.html
"ARCIMBOLDO, Giuseppe","(b. 1526, Milano, d. 1593, Milano)",painter,Italian,https://www.wga.hu/bio/a/arcimbol/biograph.html
"ARELLANO, Juan de","(b. 1614, Santorcaz, d. 1676, Madrid)",painter,Spanish,https://www.wga.hu/bio/a/arellano/biograph.html
"ARENTSZ., Arent","(b. ca. 1585, Amsterdam, d. 1631, Amsterdam)",painter,Dutch,https://www.wga.hu/bio/a/arentsz/biograph.html
"ARFE, Enrique de","(b. ca. 1475, Harff, d. 1545, León)",goldsmith,Spanish,https://www.wga.hu/bio/a/arfe/enrique/biograph.html
